Colour,Bin Number,Lower Bound of Range,Upper Bound of Range,Probablity of Sleep,Expected Counts spent Asleep
White,1,0,0,80.42,48.5
White,1,0,0,70.63,39.18
White,1,0,0,81.64,46.01
White,1,0,0,81.82,46.33
White,1,0,0,74.43,41.47
White,1,0,0,83.74,48.28
White,1,0,0,72.9,41.11
White,1,0,0,82.87,46.56
White,1,0,0,67.48,37.48
White,1,0,0,56.12,32.2
White,1,0,0,76.4,42.4
White,1,0,0,47.03,25.79
White,1,0,0,78.32,43.96
White,1,0,0,70.28,41.68
White,1,0,0,59.09,32.38
White,1,0,0,75.13,42.37
White,1,0,0,80.94,45.76
White,1,0,0,79.02,45.15
White,1,0,0,88.11,50.35
White,1,0,0,28.85,14.59
White,1,0,0,74.83,43.32
White,1,0,0,66.61,39.18
White,1,0,0,75.7,40.84
White,1,0,0,47.9,25.52
White,1,0,0,80.91,48.79
White,1,0,0,82.87,46.09
White,1,0,0,73.78,40.82
White,1,0,0,27.45,14.4
White,1,0,0,4.37,2.91
White,1,0,0,17.31,9.24
White,1,0,0,5.94,3.62
White,1,0,0,16.43,9.9
White,1,0,0,3.15,6.5
White,1,0,1,9.44,11.48
White,1,1,1,5.24,9.26
White,1,1,2,6.65,7.85
White,1,2,4,4.9,7.29
White,1,4,6,7.17,7.05
White,1,6,8,7.17,7.08
White,1,8,10,7.34,8.16
White,1,10,11,10.14,8.5
White,1,11,13,7.69,7.51
White,1,13,15,7.69,7.86
White,1,15,18,6.47,6.17
White,1,18,20,5.78,6.48
White,1,20,24,10.49,5.89
White,1,24,29,4.9,5.97
White,1,29,38,4.37,5.09
White,1,38,53,3.67,4.54
White,1,53,67,4.2,3.72
White,1,67,79,4.2,4.01
White,1,79,91,1.05,2.37
White,1,91,102,1.4,2.68
White,1,102,115,0.52,1.7
White,1,115,131,0.52,1.68
White,1,131,150,0.53,1.25
White,1,150,178,0.52,1.63
White,1,178,225,1.75,2.02
White,1,225,334,1.05,2.78
White,1,334,334,12.24,4.8
Red,2,12100000000,14000000000,6.09,5.81
Red,2,14000000000,14000000000,12.22,7.08
Red,2,14000000000,14000000000,4.17,2.51
Red,2,14000000000,14000000000,3.22,2.21
Red,2,14000000000,14000000000,11.54,8.25
Red,2,14000000000,14000000000,22.12,10.56
Red,2,14000000000,36400000000,8.04,4.21
Red,2,36400000000,41400000000,6.41,6.0
Red,2,41400000000,61200000000,17.36,10.89
Red,2,61200000000,69700000000,12.5,8.56
Red,2,69700000000,110000000000,11.25,10.2
Red,2,110000000000,146000000000,5.77,10.74
Red,2,146000000000,220000000000,6.73,9.69
Red,2,220000000000,279000000000,3.54,10.83
Red,2,279000000000,403000000000,3.53,7.35
Red,2,403000000000,534000000000,1.61,5.91
Red,2,534000000000,677000000000,6.41,6.36
Red,2,677000000000,917000000000,5.47,7.76
Red,2,917000000000,1090000000000,10.26,8.02
Red,2,1090000000000,1270000000000,9.62,8.08
Red,2,1270000000000,1480000000000,9.0,8.07
Red,2,1480000000000,1650000000000,7.05,8.05
Red,2,1650000000000,1830000000000,5.79,7.82
Red,2,1830000000000,2000000000000,8.97,7.76
Red,2,2000000000000,2180000000000,9.29,8.54
Red,2,2180000000000,2330000000000,13.18,9.32
Red,2,2330000000000,2540000000000,13.46,7.21
Red,2,2540000000000,2770000000000,13.83,7.78
Red,2,2770000000000,3090000000000,11.86,7.57
Red,2,3090000000000,3440000000000,7.05,6.95
Red,2,3440000000000,3920000000000,4.82,6.67
Red,2,3920000000000,4360000000000,3.21,4.76
Red,2,4360000000000,4660000000000,0.32,4.98
Red,2,4660000000000,5080000000000,0.64,3.57
Red,2,5080000000000,5300000000000,0.96,3.23
Red,2,5300000000000,5660000000000,1.6,3.58
Red,2,5660000000000,6040000000000,1.92,2.71
Red,2,6040000000000,6310000000000,2.25,2.56
Red,2,6310000000000,6880000000000,3.21,3.16
Red,2,6880000000000,7180000000000,3.86,2.83
Red,2,7180000000000,7660000000000,1.6,3.72
Red,2,7660000000000,8180000000000,1.29,2.52
Red,2,8180000000000,8540000000000,1.6,3.12
Red,2,8540000000000,9110000000000,2.24,3.48
Red,2,9110000000000,9720000000000,0.96,2.88
Red,2,9720000000000,10400000000000,1.28,2.25
Red,2,10400000000000,11100000000000,0.96,2.28
Red,2,11100000000000,11800000000000,0.0,2.65
Red,2,11800000000000,12600000000000,0.64,2.83
Red,2,12600000000000,13800000000000,3.54,2.98
Red,2,13800000000000,15000000000000,5.13,3.0
Red,2,15000000000000,16400000000000,3.54,2.05
Red,2,16400000000000,17800000000000,3.21,2.74
Red,2,17800000000000,20300000000000,0.64,2.71
Red,2,20300000000000,22100000000000,1.93,2.49
Red,2,22100000000000,26300000000000,1.28,2.5
Red,2,26300000000000,33400000000000,2.57,2.81
Red,2,33400000000000,50400000000000,1.92,4.15
Red,2,50400000000000,99850000000000,7.72,6.9
Red,2,99850000000000,99850000000000,21.79,9.39
Green,3,6030000000,63900000000,9.2,8.97
Green,3,63900000000,63900000000,6.54,12.13
Green,3,63900000000,88500000000,6.51,8.55
Green,3,88500000000,128000000000,5.38,9.37
Green,3,128000000000,177000000000,5.75,8.95
Green,3,177000000000,261000000000,5.38,7.5
Green,3,261000000000,285000000000,3.07,7.0
Green,3,285000000000,403000000000,5.0,7.87
Green,3,403000000000,490000000000,7.66,7.82
Green,3,490000000000,678000000000,4.23,5.7
Green,3,678000000000,898000000000,4.21,5.87
Green,3,898000000000,1140000000000,8.08,6.98
Green,3,1140000000000,1390000000000,5.75,7.56
Green,3,1390000000000,1680000000000,3.85,6.32
Green,3,1680000000000,1920000000000,10.73,8.53
Green,3,1920000000000,2090000000000,6.15,8.51
Green,3,2090000000000,2280000000000,9.58,7.8
Green,3,2280000000000,2490000000000,9.62,8.73
Green,3,2490000000000,2770000000000,11.49,7.93
Green,3,2770000000000,2960000000000,8.85,9.26
Green,3,2960000000000,3090000000000,9.58,7.0
Green,3,3090000000000,3290000000000,6.15,6.9
Green,3,3290000000000,3520000000000,8.43,7.47
Green,3,3520000000000,3750000000000,7.31,7.33
Green,3,3750000000000,4000000000000,4.98,6.37
Green,3,4000000000000,4270000000000,5.77,7.01
Green,3,4270000000000,4660000000000,5.36,6.36
Green,3,4660000000000,4970000000000,6.54,5.87
Green,3,4970000000000,5420000000000,8.43,5.14
Green,3,5420000000000,5790000000000,8.43,5.78
Green,3,5790000000000,6310000000000,12.69,6.59
Green,3,6310000000000,6880000000000,5.36,6.23
Green,3,6880000000000,7670000000000,4.62,5.43
Green,3,7670000000000,8920000000000,4.21,4.61
Green,3,8920000000000,10600000000000,3.08,5.55
Green,3,10600000000000,12600000000000,5.75,5.52
Green,3,12600000000000,14400000000000,7.31,5.12
Green,3,14400000000000,16400000000000,6.9,4.81
Green,3,16400000000000,17800000000000,3.08,3.71
Green,3,17800000000000,19500000000000,3.45,4.23
Green,3,19500000000000,20300000000000,0.77,2.45
Green,3,20300000000000,22200000000000,0.77,2.08
Green,3,22200000000000,23100000000000,0.38,1.98
Green,3,23100000000000,24700000000000,0.0,2.31
Green,3,24700000000000,26400000000000,0.0,2.22
Green,3,26400000000000,27500000000000,0.38,2.0
Green,3,27500000000000,29400000000000,0.38,1.21
Green,3,29400000000000,31300000000000,0.0,1.67
Green,3,31300000000000,32700000000000,1.15,1.16
Green,3,32700000000000,34900000000000,0.38,1.27
Green,3,34900000000000,37300000000000,1.15,1.8
Green,3,37300000000000,39800000000000,0.0,1.31
Green,3,39800000000000,43400000000000,1.15,1.52
Green,3,43400000000000,47300000000000,1.92,2.0
Green,3,47300000000000,52700000000000,0.38,1.93
Green,3,52700000000000,58700000000000,0.77,2.08
Green,3,58700000000000,68400000000000,0.38,2.21
Green,3,68400000000000,86800000000000,1.92,2.85
Green,3,86800000000000,123000000000000,7.31,4.45
Green,3,123000000000000,123000000000000,18.39,4.31
Blue,4,4910000000,4910000000,8.24,12.18
Blue,4,4910000000,4910000000,7.49,11.0
Blue,4,4910000000,12500000000,2.62,3.94
Blue,4,12500000000,13650000000,6.74,5.63
Blue,4,13650000000,14800000000,6.74,8.9
Blue,4,14800000000,24400000000,9.36,8.05
Blue,4,24400000000,36800000000,3.75,7.94
Blue,4,36800000000,61900000000,6.02,6.18
Blue,4,61900000000,87600000000,5.62,6.27
Blue,4,87600000000,124000000000,3.0,5.46
Blue,4,124000000000,171000000000,3.75,8.83
Blue,4,171000000000,199000000000,8.61,8.93
Blue,4,199000000000,237000000000,4.87,7.37
Blue,4,237000000000,270000000000,7.12,8.38
Blue,4,270000000000,314000000000,11.61,9.25
Blue,4,314000000000,350000000000,12.73,9.54
Blue,4,350000000000,399000000000,14.61,9.53
Blue,4,399000000000,435000000000,11.61,7.34
Blue,4,435000000000,506000000000,10.11,7.34
Blue,4,506000000000,564000000000,7.49,8.23
Blue,4,564000000000,629000000000,8.61,8.39
Blue,4,629000000000,701000000000,7.87,7.35
Blue,4,701000000000,764000000000,8.27,8.15
Blue,4,764000000000,833000000000,4.87,6.89
Blue,4,833000000000,908000000000,8.99,6.82
Blue,4,908000000000,991000000000,5.62,6.66
Blue,4,991000000000,1060000000000,7.12,6.57
Blue,4,1060000000000,1150000000000,4.87,6.73
Blue,4,1150000000000,1280000000000,5.24,5.75
Blue,4,1280000000000,1400000000000,7.12,5.54
Blue,4,1400000000000,1530000000000,4.87,5.7
Blue,4,1530000000000,1700000000000,11.99,6.24
Blue,4,1700000000000,1940000000000,1.87,4.91
Blue,4,1940000000000,2210000000000,2.62,4.0
Blue,4,2210000000000,2630000000000,3.37,4.52
Blue,4,2630000000000,3330000000000,4.49,5.16
Blue,4,3330000000000,3960000000000,5.62,4.98
Blue,4,3960000000000,4420000000000,4.14,5.41
Blue,4,4420000000000,4920000000000,4.49,4.6
Blue,4,4920000000000,5370000000000,0.75,2.69
Blue,4,5370000000000,5850000000000,1.87,3.41
Blue,4,5850000000000,6380000000000,1.87,2.42
Blue,4,6380000000000,6810000000000,0.37,2.07
Blue,4,6810000000000,7270000000000,0.75,1.99
Blue,4,7270000000000,7930000000000,0.75,2.46
Blue,4,7930000000000,8280000000000,1.12,1.6
Blue,4,8280000000000,9030000000000,0.75,1.34
Blue,4,9030000000000,9840000000000,0.0,1.79
Blue,4,9840000000000,10500000000000,0.0,1.4
Blue,4,10500000000000,11200000000000,0.75,1.64
Blue,4,11200000000000,12200000000000,1.5,0.93
Blue,4,12200000000000,13300000000000,0.37,1.45
Blue,4,13300000000000,14500000000000,0.75,1.5
Blue,4,14500000000000,16200000000000,0.75,1.54
Blue,4,16200000000000,18100000000000,0.75,1.45
Blue,4,18100000000000,20600000000000,0.75,2.07
Blue,4,20600000000000,23900000000000,0.37,1.61
Blue,4,23900000000000,30700000000000,0.75,2.66
Blue,4,30700000000000,42000000000000,1.87,2.19
Blue,4,42000000000000,42000000000000,16.85,3.48
